geo_fips,year,pop,pop_change_yoy,pop_change_yoy_pct,pop_change_yoy_pct_diff,rank_pop,rank_pop_change_yoy,rank_pop_change_yoy_pct,rank_pop_change_yoy_pct_diff,state_name,state_abbr
54000,1932,1747000,7000,0.004022988505747126,-0.0024347099415029097,27,18,29,29,West Virginia,WV
55000,1932,3021000,31000,0.01036789297658863,0.0039101945293385934,13,9,14,14,Wisconsin,WI
56000,1932,230000,1000,0.004366812227074236,-0.0020908862201758005,48,24,28,28,Wyoming,WY
00000,1933,125580000,741000,0.005935645110902843,0,,,,,United States,US
01000,1933,2661000,8000,0.0030154542027892952,-0.002920190908113548,18,16,32,32,Alabama,AL
04000,1933,426000,0,0,-0.005935645110902843,44,22,38,38,Arizona,AZ
05000,1933,1854000,18000,0.00980392156862745,0.0038682764577246077,25,13,12,12,Arkansas,AR
06000,1933,5963000,69000,0.01170682049541907,0.005771175384516227,6,2,8,8,California,CA
08000,1933,1071000,5000,0.004690431519699813,-0.0012452135912030303,32,18,27,27,Colorado,CO
09000,1933,1642000,5000,0.0030543677458766036,-0.0028812773650262395,28,18,31,31,Connecticut,CT
10000,1933,248000,3000,0.012244897959183673,0.00630925284828083,46,20,7,7,Delaware,DE
11000,1933,529000,16000,0.031189083820662766,0.025253438709759924,39,14,1,1,District of Columbia,DC
12000,1933,1552000,31000,0.020381328073635765,0.014445682962732923,30,7,2,2,Florida,FL
13000,1933,2950000,15000,0.005110732538330494,-8.249125725723495e-4,14,15,25,25,Georgia,GA
16000,1933,464000,5000,0.010893246187363835,0.004957601076460992,42,18,9,9,Idaho,ID
17000,1933,7768000,32000,0.004136504653567736,-0.0017991404573351076,3,6,28,28,Illinois,IL
18000,1933,3304000,23000,0.007010057909174032,0.001074412798271189,11,9,19,19,Indiana,IN
19000,1933,2495000,6000,0.0024106066693451184,-0.0035250384415577247,19,17,34,34,Iowa,IA
20000,1933,1877000,-6000,-0.003186404673393521,-0.009122049784296364,24,25,46,46,Kansas,KS
21000,1933,2698000,22000,0.008221225710014948,0.002285580599112105,16,10,16,16,Kentucky,KY
22000,1933,2178000,23000,0.010672853828306265,0.004737208717403422,22,9,10,10,Louisiana,LA
23000,1933,821000,6000,0.007361963190184049,0.001426318079281206,34,17,17,17,Maine,ME
24000,1933,1694000,16000,0.009535160905840286,0.0035995157949374424,27,14,14,14,Maryland,MD
25000,1933,4282000,23000,0.0054003287156609535,-5.353163952418897e-4,8,9,24,24,Massachusetts,MA
26000,1933,4780000,0,0,-0.005935645110902843,7,22,38,38,Michigan,MI
27000,1933,2673000,27000,0.01020408163265306,0.004268436521750217,17,8,11,11,Minnesota,MN
28000,1933,2031000,27000,0.01347305389221557,0.007537408781312726,23,8,4,4,Mississippi,MS
29000,1933,3773000,27000,0.007207688200747464,0.001272043089844621,10,8,18,18,Missouri,MO
30000,1933,541000,1000,0.001851851851851852,-0.004083793259050991,38,21,37,37,Montana,MT
31000,1933,1385000,-1000,-7.215007215007215e-4,-0.006657145832403564,31,23,39,39,Nebraska,NE
32000,1933,96000,0,0,-0.005935645110902843,48,22,38,38,Nevada,NV
33000,1933,477000,3000,0.006329113924050633,3.9346881314778967e-4,41,20,20,20,New Hampshire,NH
34000,1933,4107000,-13000,-0.0031553398058252425,-0.009090984916728086,9,26,45,45,New Jersey,NJ
35000,1933,449000,8000,0.018140589569160998,0.012204944458258156,43,16,3,3,New Mexico,NM
36000,1933,13126000,125000,0.009614645027305592,0.0036789999164027485,1,1,13,13,New York,NY
37000,1933,3268000,41000,0.012705299039355439,0.006769653928452596,12,4,6,6,North Carolina,NC
38000,1933,674000,-2000,-0.0029585798816568047,-0.008894224992559648,37,24,44,44,North Dakota,ND
39000,1933,6740000,23000,0.003424147684978413,-0.00251149742592443,4,9,29,29,Ohio,OH
40000,1933,2392000,-2000,-8.35421888053467e-4,-0.00677106699895631,21,24,40,40,Oklahoma,OK
41000,1933,978000,6000,0.006172839506172839,2.3719439526999602e-4,33,17,22,22,Oregon,OR
42000,1933,9784000,20000,0.0020483408439164277,-0.0038873042669864155,2,11,36,36,Pennsylvania,PA
44000,1933,675000,-2000,-0.0029542097488921715,-0.008889854859795016,36,24,43,43,Rhode Island,RI
45000,1933,1752000,4000,0.002288329519450801,-0.0036473155914520422,26,19,35,35,South Carolina,SC
46000,1933,690000,-2000,-0.002890173410404624,-0.008825818521307467,35,24,42,42,South Dakota,SD
47000,1933,2747000,36000,0.013279232755440797,0.007343587644537954,15,5,5,5,Tennessee,TN
48000,1933,6014000,53000,0.008891125650058715,0.0029554805391558718,5,3,15,15,Texas,TX
49000,1933,520000,3000,0.005802707930367505,-1.3293718053533805e-4,40,20,23,23,Utah,UT
50000,1933,357000,-1000,-0.002793296089385475,-0.008728941200288318,45,23,41,41,Vermont,VT
51000,1933,2460000,8000,0.0032626427406199023,-0.002673002370282941,20,16,30,30,Virginia,VA
53000,1933,1592000,8000,0.005050505050505051,-8.851400603977922e-4,29,16,26,26,Washington,WA
